year,month,state,customers,price,revenue,sales
2001,5,New England,,10.61,989.41186,9323.46924
2001,5,Middle Atlantic,,9.47,2542.50194,26857.30767
2001,5,East North Central,,6.49,2847.02917,43899.0015
2001,5,West North Central,,6.06,1176.30231,19400.57819
2001,5,South Atlantic,,6.63,3645.41925,54963.37108
2001,5,Tennessee,,5.55,405.48327,7310.91587
2001,5,Alabama,,5.6,359.09236,6413.9653
2001,5,Alaska,,10.55,43.88737,415.90066
2001,6,Pacific Noncontiguous,,12.84,156.86927,1221.69785
2001,6,U.S. Total,,7.58,21976.8956,290008.13859
2001,6,Nebraska,,5.92,122.45791,2069.57691
2001,6,Nevada,,8.37,220.70072,2637.28236
2001,6,New Hampshire,,10.66,92.60493,868.61934
2001,6,New Jersey,,9.82,636.67865,6480.79179
2001,6,New Mexico,,7.32,118.41963,1616.79509
2001,6,New York,,11.46,1397.89895,12201.51381
2001,6,North Carolina,,6.54,663.38321,10151.13785
2001,6,North Dakota,,5.89,42.18276,715.65953
2001,6,Ohio,,6.9,880.43519,12754.21021
2001,6,Oklahoma,,6.99,308.62326,4415.98253
2001,6,Oregon,,5.28,183.62443,3477.86034
2001,6,Pennsylvania,,8.5,938.22233,11038.01813
2001,6,Rhode Island,,12.02,76.96174,640.1463
2001,6,South Atlantic,,6.78,4239.20057,62512.03716
2001,6,East South Central,,5.52,1375.06139,24902.08196
2001,6,West South Central,,7.67,3318.55121,43293.29006
2001,6,Mountain,,6.9,1352.56609,19591.15712
2001,6,Pacific Contiguous,,9.45,2888.97592,30565.71379
2001,6,Colorado,,6.48,238.94754,3685.90454
2001,6,Connecticut,,9.56,254.49112,2660.78767
2001,6,Delaware,,7.21,65.38573,907.30743
2001,6,District of Columbia,,8.65,93.64144,1082.03254
2001,6,Florida,,7.26,1311.42666,18068.24427
2001,6,Georgia,,6.82,700.50815,10265.0551
2001,6,Hawaii,,14.0,113.03298,807.46337
2001,6,Idaho,,4.92,93.17276,1893.4476
2001,6,Illinois,,7.39,858.57869,11618.08845
2001,6,Indiana,,5.45,446.05346,8178.04452
2001,6,Iowa,,6.61,217.20234,3283.8627
2001,6,Kansas,,6.46,207.18471,3208.58548
2001,6,Kentucky,,4.66,281.90756,6050.2276
2001,6,Louisiana,,7.73,525.1427,6795.06817
2001,6,Maine,,9.9,103.43921,1044.87835
2001,6,Maryland,,7.47,389.60568,5214.57505
2001,6,Massachusetts,,12.11,550.00986,4541.66346
2001,6,Michigan,,7.09,632.79352,8931.06373
2001,6,Minnesota,,6.43,326.8877,5087.15032
2001,6,South Carolina,,5.77,371.93398,6443.10973
2001,6,South Dakota,,6.79,45.09654,664.50832
2001,6,Tennessee,,5.61,436.46148,7780.40393
2001,6,Texas,,7.9,2253.11098,28531.89959
2001,6,Utah,,5.43,107.44164,1978.07067
2001,6,Vermont,,10.79,48.93397,453.64415
2001,6,Virginia,,6.47,534.94349,8263.63288
2001,6,Washington,,5.11,301.34831,5893.61141
2001,6,West Virginia,,5.12,108.37223,2116.94231
2001,6,Mississippi,,6.61,258.11396,3902.07087
2001,6,Missouri,,7.07,431.82383,6109.1837
2001,6,Montana,,6.77,62.6911,925.40855
2001,6,Wisconsin,,6.25,335.73375,5372.16377
2001,6,Wyoming,,4.37,45.39365,1038.01908
2001,6,New England,,11.03,1126.44083,10209.73929
2001,6,Middle Atlantic,,10.0,2972.79993,29720.32373
2001,6,East North Central,,6.73,3153.59461,46853.57068
2001,6,West North Central,,6.59,1392.83578,21138.52695
2001,6,Alabama,,5.56,398.57839,7169.37956
2001,6,Alaska,,10.58,43.83628,414.23448
2001,6,Arizona,,8.01,465.79906,5816.22924
2001,6,Arkansas,,6.53,231.67427,3550.33976
2001,6,California,,11.34,2404.00318,21194.24204
2001,7,Maine,,11.17,109.39499,979.09829
2001,7,Maryland,,7.58,421.42164,5563.24264
2001,7,Massachusetts,,13.35,615.84023,4611.46189
2001,7,Michigan,,7.22,693.97777,9610.85333
2001,7,Minnesota,,6.84,394.95547,5774.27878
2001,7,Mississippi,,6.72,295.17456,4391.52074
2001,7,Missouri,,7.28,545.90012,7499.82481
2001,7,Montana,,6.35,59.56054,938.25068
2001,7,Nebraska,,6.1,153.99827,2523.71261
2001,7,Nevada,,8.57,250.37093,2919.84268
2001,7,New Hampshire,,11.08,99.11242,894.45017
2001,7,New Jersey,,9.95,699.466,7028.44855
2001,7,Iowa,,6.83,266.73646,3905.19927
2001,7,Kansas,,6.82,279.48081,4097.55456
2001,7,Kentucky,,4.75,316.95347,6669.52793
2001,7,Louisiana,,6.91,494.19193,7147.21308
2001,7,Delaware,,7.64,81.02231,1060.89162
2001,7,District of Columbia,,9.03,88.29808,977.78096
2001,7,Florida,,7.84,1503.54325,19189.71746
2001,7,Georgia,,7.0,815.60746,11651.44569
2001,7,Hawaii,,14.27,122.96895,862.02219
2001,7,Idaho,,5.05,97.49352,1931.90982
2001,7,Illinois,,7.72,1008.35452,13059.38017
2001,7,Indiana,,5.45,495.46262,9085.50413
2001,7,New Mexico,,7.22,129.70614,1796.3496
2001,7,New York,,13.26,1663.81731,12547.91953
2001,7,North Carolina,,6.82,758.9955,11133.20291
2001,7,North Dakota,,5.99,49.10431,819.13687
2001,7,Ohio,,6.97,1003.48127,14407.43476
2001,7,Oklahoma,,7.1,383.89498,5404.21755
2001,7,Oregon,,5.21,177.00967,3398.36888
2001,7,Pennsylvania,,8.39,983.73157,11718.76238
2001,7,Rhode Island,,12.01,78.84856,656.43058
2001,7,South Carolina,,5.97,415.96641,6968.04377
2001,7,Alabama,,5.81,452.58496,7794.07207
2001,7,Alaska,,10.39,43.74995,421.09334
2001,7,Arizona,,7.78,504.02299,6475.18991
2001,7,Arkansas,,6.47,270.17119,4176.61212
2001,7,South Dakota,,6.84,55.173,806.9072
2001,7,Tennessee,,5.69,490.32068,8623.3544
2001,7,Texas,,7.98,2515.43918,31533.48222
2001,7,Utah,,5.48,120.08686,2189.99856
2001,7,Vermont,,11.03,52.15588,472.84795
2001,7,Virginia,,6.41,570.37822,8896.42304
2001,7,Washington,,5.35,286.5916,5354.74603
2001,7,West Virginia,,5.15,117.22209,2275.61243
2001,7,Wisconsin,,6.28,385.06583,6136.15668
2001,7,Wyoming,,4.62,47.68529,1033.15659
2001,7,New England,,11.83,1216.8757,10288.61827
2001,7,Middle Atlantic,,10.7,3347.01488,31295.13046
2001,7,East North Central,,6.86,3586.342,52299.32907
2001,7,West North Central,,6.86,1745.34843,25426.6141
2001,7,South Atlantic,,7.05,4772.45496,67716.36051
2001,7,East South Central,,5.66,1555.03367,27478.47514
2001,7,West South Central,,7.59,3663.69729,48261.52497
2001,7,Mountain,,6.8,1458.93702,21457.17889
2001,7,Pacific Contiguous,,11.11,3363.90028,30291.70751
2001,7,Pacific Noncontiguous,,12.99,166.7189,1283.11553
2001,7,U.S. Total,,7.88,24876.32313,315798.05444
2001,7,California,,13.47,2900.29901,21538.5926
2001,7,Colorado,,5.99,250.01077,4172.48104
2001,7,Connecticut,,9.78,261.52362,2674.32939
2001,8,Georgia,,7.1,874.04566,12307.1695
2001,8,Hawaii,,14.28,125.67338,879.80314
2001,8,New Mexico,,7.35,130.46884,1774.35193
2001,8,New York,,12.69,1735.01554,13671.28749
2001,8,North Carolina,,6.82,798.53831,11708.74782
2001,8,North Dakota,,6.02,50.44504,837.64664
2001,8,Ohio,,6.97,1039.12141,14908.07901
2001,8,Oklahoma,,7.1,398.37215,5612.61728
2001,8,Oregon,,5.25,185.09729,3528.13455
2001,8,Pennsylvania,,8.45,1058.61123,12535.15304
2001,8,Rhode Island,,11.49,84.57084,736.2086
2001,8,South Carolina,,6.06,440.43287,7265.7043
2001,8,South Dakota,,6.82,58.10187,851.79335
2001,8,Tennessee,,5.65,518.62665,9181.89611
2001,8,Texas,,8.0,2708.30673,33863.6911
2001,8,Utah,,5.47,119.37084,2180.64764
2001,8,Vermont,,10.89,54.80281,503.21287
2001,8,California,,13.12,3120.03468,23772.48986
2001,8,Colorado,,6.14,248.36165,4044.75599
2001,8,Connecticut,,9.89,295.58603,2987.35865
2001,8,Delaware,,7.73,82.71387,1069.4215
2001,8,District of Columbia,,8.39,91.97267,1095.93102
